기관명,연락처,주소
메리놀병원,(주)051-461-2348; (야)051-461-2300,중구로 121(대청동4가)
동아대학교병원,051-240-2400,대신공원로 26 (동대신동)
부산대학교병원,051-240-7000,구덕로 179 (아미동)
고신대학교병원,051-990-6610,서구 감천로 262
삼육부산병원,051-600-7750,서구 대티로 170
김원묵기념 봉생병원,051-664-4000,중앙대로401 (좌천동)
좋은문화병원,051-644-2002,범일로 119(범일동)
영도병원,051-419-7881,태종로 85(대교동 2가)
해동병원,051-410-6682,태종로 133(봉래동)
인제대 부산백병원,051-890-8933; 051-890-6491,복지로 75 (개금동)
온종합병원,051-607-0832,가야대로 721(당감동)
동의병원,051-850-8777,양정로 60(양정동)
춘해병원,051-638-8000,중앙대로 60(범천1동)
대동병원,051-554-1233,충렬대로 187 (명륜동)
동래봉생병원,051-520-5716,동래구 안연로109번길 27(안락동)
광혜병원,051-590-3316,동래구 충렬대로96(온천동)
부산성모병원,051-933-7114,용호로 232번길25-14(용호동)
부민병원,051-330-3000,북구 만덕대로 59
구포성심병원,051-330-3986,낙동대로 1786(구포동)
인제대 해운대백병원,051-797-0100,해운대로 875 (좌동)
해운대부민병원,051-602-8246,해운대로 594
세웅병원,051-500-9700,금정구 서동로162
갑을녹산병원,051-974-8449,녹산산단321로24-8(송정동)
부산의료원,(주)051-607-2816; (야)051-607-2815,월드컵대로 359 (거제동)
비에이치에스한서병원,051-756-0081,수영로 615(광안동)
좋은강안병원,051-625-0900,수영로 493(남천동)
좋은삼선병원,051-322-0900,가야대로 326 (주례동)
부산보훈병원,051-601-6000,백양대로 420(주례2동)
동남권원자력 의학원,051-720-5114,장안읍 좌동길40 (장안읍)
기장병원,051-723-0171,대청로 72번길 6(기장읍)
