기관명,연락처,주소
중구보건소,053-661-3804/3826,태평로 45( 태평로3가 174-1)
경북대학교병원,1666-5114,동덕로 130 (삼덕동2가 50)
대구파티마병원,1688-7770/053-940-7098,아양로 99 (신암동 576-31)
동구보건소,053-662-3225/3274,동촌로 79 (검사동 1005-8)
서구보건소,053-663-3176/3178,국채보상로 257 (평리동)
대구의료원,053-560-9480/9484,평리로 157 (평리동 1230-9)
영남대학교병원,053-623-8001,현충로 170 (대명동 317-1)
대구 가톨릭대학교병원,053-650-3000,두류공원로 17길 33 (대명동 3056-6)
남구보건소,053-664-3582/3583,영선길 34 (대명동 2003)
드림병원,053-640-8800,대명로 153 (대명동 808-3)
북구보건소,053-665-2756/2760,성북로 49(침산동)(침산동 521-2)
대구가톨릭대학교 칠곡가톨릭병원,053-320-2186,북구 칠곡중앙대로 440(읍내동 1341-5 )
수성구보건소,053-666-3264/3266,수성로 213(중동 266-5)
달서구보건소,053-667-5953/5652,학산로 45 (월성동 281)
계명대학교 동산병원,053-258-7348,달구벌대로 1035 ( 신당동 1000-2)
의료법인구의료재단 구병원,053-560-9114,감삼북길 141 (감삼동 139-2)
삼일병원,053-659-3100,월배로 446 (송현동 200)
세강병원,053-215-6200,구마로 220 (송현동 56-2)
달성군보건소,053-668-3333/3114,현풍읍 현풍중앙로 27 (하리 253-2)
