기관명,연락처,주소
강남구보건소,02-3423-5555,강남구
삼성서울병원,02-3410-0543,강남구
강남세브란스병원,02-1599-6114,강남구
강동구보건소,02-3425-6713,강동구
중앙보훈병원,02-2225-1114,강동구
강동경희대병원,02-440-7000,강동구
강동성심병원,1588-4100,강동구
강북구보건소,02-901-7704.7706,강북구
강서구보건소,02-2600-5465,강서구
이화여자대학교서울병원,1522-7000,강서구
관악구보건소,02-879-7131,관악구
에이치플러스양지병원,1877-8875,관악구
광진구보건소,02-450-1937,광진구
건국대학교병원,02-1588-1533,광진구
구로구보건소,02-860-2012,구로구
고대구로병원,02-2626-1554,구로구
구로성심병원,02-2067-1500,구로구
금천구보건소,02-2627-2717,금천구
희명병원,02-2219-7231,금천구
노원구보건소,02-2116-3000,노원구
노원을지대학교병원,02-970-8000,노원구
상계백병원,02-950-1114,노원구
도봉구보건소,02-2091-4434,도봉구
한일병원,02-901-3114,도봉구
동대문구보건소,02-2127-4283,동대문구
삼육서울병원,1577-3675,동대문구
서울특별시동부병원,920-9435/9119,동대문구
서울성심병원,966-1616,동대문구
경희의료원,958-8114,동대문구
동작구보건소,02-820-9465,동작구
서울특별시보라매병원,02-870-2114,동작구
서울특별시중앙대학교병원,1800-1114,동작구
마포구보건소,02-3153-9037,마포구
서대문구보건소,02-330-1806,서대문구
세브란스병원,1599-1004,서대문구
서울중구보건소,02-3396-5181,중구
인제대학교서울백병원,02-2270-0114,중구
국립중앙의료원,02-2260-7114,중구
서초구보건소,02-2155-8093,서초구
가톨릭대학교서울성모병원,02-1588-1511,서초구
서울특별시어린이병원,02-570-8000,서초구
성동구보건소,02-2286-7172,성동구
한양대학교병원,02-2290-8114,성동구
성동군자의원,02-499-7785,성동구
성북구보건소,02-2241-5912,성북구
고려대학교의료원안암병원,1577-0083,성북구
송파구보건소,02-2147-3479,송파구
서울아산병원,02-3010-3114,송파구
경찰병원,02-3400-1114,송파구
양천구보건소,02-2620-3856,양천구
이화여자대학교의과대학부속목동병원,02-1666-5000,양천구
서울특별시서남병원,1566-6688,양천구
홍익병원,02-2693-5555,양천구
영등포구보건소,02-2670-4953,영등포구
한림대학교강남성심병원,1577-5587,영등포구
의료법인성애병원,02-840-7115,영등포구
가톨릭대학교여의도성모병원,1661-7575,영등포구
용산구보건소,02-2199-8373~6,용산구
순천향대학교서울병원,02-709-9114,용산구
은평구보건소,02-351-8640~1,은평구
은평성모병원,1811-7755,은평구
서울특별시립서북병원,02-3156-3022,은평구
서울특별시은평병원,02-300-8060,은평구
청구성심병원,02-383-0129,은평구
종로구보건소,02-2148-3725,종로구
강북삼성병원,02-2001-1896,종로구
서울적십자병원,02-2002-8650,종로구
중랑구보건소,02-2094-0800,중랑구
서울의료원,02-2276-8333,중랑구
