,,제목,담당,작성일
1,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=3&brdGubun=31&dataGubun=&ncvContSeq=4414&contSeq=4414&board_id=311&gubun=BDC,[카드뉴스]  수도권 주민 누구나 적극적으로 검사 받아 주세요,보건복지부,2020-12-11 17:37
2,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=3&brdGubun=31&dataGubun=&ncvContSeq=4411&contSeq=4411&board_id=311&gubun=BDC,[카드뉴스] 중앙방역대책본부 일일 국내발생현황 브리핑(12.11.),대한민국정부,2020-12-11 16:09
3,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=3&brdGubun=31&dataGubun=&ncvContSeq=4405&contSeq=4405&board_id=311&gubun=BDC,[카드뉴스] 중앙방역대책본부 일일 국내발생현황 브리핑(12.10.),대한민국정부,2020-12-10 15:32
4,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=3&brdGubun=31&dataGubun=&ncvContSeq=4401&contSeq=4401&board_id=311&gubun=BDC,[카드뉴스] 중앙방역대책본부 일일 국내발생현황 브리핑(12.9.),대한민국정부,2020-12-10 09:47
5,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=3&brdGubun=31&dataGubun=&ncvContSeq=4399&contSeq=4399&board_id=311&gubun=BDC,본인 가족 이웃을 보호하기 위해 빠른 검사는 필수적입니다,보건복지부,2020-12-09 17:48
6,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=3&brdGubun=31&dataGubun=&ncvContSeq=4398&contSeq=4398&board_id=311&gubun=BDC,본인 가족 이웃 보호를 위해 빠른 검사는 필수적입니다,보건복지부,2020-12-09 17:30
7,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=3&brdGubun=31&dataGubun=&ncvContSeq=4392&contSeq=4392&board_id=311&gubun=BDC,[카드뉴스] 중앙방역대책본부 일일 국내발생현황 브리핑(12.8.),대한민국정부,2020-12-08 15:38
8,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=3&brdGubun=31&dataGubun=&ncvContSeq=4384&contSeq=4384&board_id=311&gubun=BDC,사람과의 접촉이 일어난다면 어떤 곳도 안전하지 않습니다,보건복지부,2020-12-07 17:00
9,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=3&brdGubun=31&dataGubun=&ncvContSeq=4383&contSeq=4383&board_id=311&gubun=BDC,어떤 곳도 안전하지 않습니다 _ 외출.모임 사람 간 접촉을 삼가주십시오,보건복지부,2020-12-07 16:59
10,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=3&brdGubun=31&dataGubun=&ncvContSeq=4381&contSeq=4381&board_id=311&gubun=BDC,[카드뉴스] 중앙방역대책본부 일일 국내발생현황 브리핑(12.7.),대한민국정부,2020-12-07 16:07
