,,제목,담당,작성일
1,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=361624&contSeq=361624&board_id=140&gubun=BDJ,코로나바이러스감염증-19 국내 발생 현황 (정례브리핑),중앙방역대책본부 대응관리팀,2020-12-12 15:18
2,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=361621&contSeq=361621&board_id=140&gubun=BDJ,코로나바이러스감염증-19 국내 발생 현황 (12월 12일 0시),위기대응팀,2020-12-12 09:38
3,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=361611&contSeq=361611&board_id=140&gubun=BDJ,복지부-의료계 코로나19 방역대응에 적극 협력키로,의료인력정책과,2020-12-11 16:51
4,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=361607&contSeq=361607&board_id=140&gubun=BDJ,코로나바이러스감염증-19 국내 발생 현황 (12월 11일),중앙방역대책본부 대응관리팀,2020-12-11 14:22
5,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=361601&contSeq=361601&board_id=140&gubun=BDJ,코로나바이러스감염증-19 중앙재난안전대책본부 정례브리핑,코로나바이러스감염증-19중앙사고수습본부,2020-12-11 11:33
6,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=361597&contSeq=361597&board_id=140&gubun=BDJ,코로나바이러스감염증-19 국내 발생 현황 (12월 11일 0시),중앙방역대책본부 대응관리팀,2020-12-11 09:42
7,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=361584&contSeq=361584&board_id=140&gubun=BDJ,코로나19 대응을 위한 복지부-시민사회 협력 논의,보건의료정책과,2020-12-10 15:16
8,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=361582&contSeq=361582&board_id=140&gubun=BDJ,코로나바이러스감염증-19 국내 발생 현황 (정례브리핑),중앙방역대책본부 대응관리팀,2020-12-10 15:10
9,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=361577&contSeq=361577&board_id=140&gubun=BDJ,코로나바이러스감염증-19 국내 발생 현황 (12월 10일 0시),중앙방역대책본부 대응관리팀,2020-12-10 10:20
10,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=361556&contSeq=361556&board_id=140&gubun=BDJ,코로나바이러스감염증-19 국내 발생 현황 (12월 9일),중앙방역대책본부 대응관리팀,2020-12-09 15:33
