,,제목,담당,작성일
1,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=361624&contSeq=361624&board_id=&gubun=ALL,코로나바이러스감염증-19 국내 발생 현황 (정례브리핑),중앙방역대책본부 대응관리팀,2020-12-12 15:18
2,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=361621&contSeq=361621&board_id=&gubun=ALL,코로나바이러스감염증-19 국내 발생 현황 (12월 12일 0시),위기대응팀,2020-12-12 09:38
3,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=361618&contSeq=361618&board_id=&gubun=ALL,[보도설명자료]_백신확보 보도 관련,코로나19치료제·백신개발범정부지원위원회사무국,2020-12-11 22:13
4,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=3&brdGubun=31&dataGubun=&ncvContSeq=4414&contSeq=4414&board_id=311&gubun=ALL,[카드뉴스]  수도권 주민 누구나 적극적으로 검사 받아 주세요,보건복지부,2020-12-11 17:37
5,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=361611&contSeq=361611&board_id=&gubun=ALL,복지부-의료계 코로나19 방역대응에 적극 협력키로,의료인력정책과,2020-12-11 16:51
6,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=3&brdGubun=31&dataGubun=&ncvContSeq=4411&contSeq=4411&board_id=311&gubun=ALL,[카드뉴스] 중앙방역대책본부 일일 국내발생현황 브리핑(12.11.),대한민국정부,2020-12-11 16:09
7,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=361607&contSeq=361607&board_id=&gubun=ALL,코로나바이러스감염증-19 국내 발생 현황 (12월 11일),중앙방역대책본부 대응관리팀,2020-12-11 14:22
8,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=361601&contSeq=361601&board_id=&gubun=ALL,코로나바이러스감염증-19 중앙재난안전대책본부 정례브리핑,코로나바이러스감염증-19중앙사고수습본부,2020-12-11 11:33
9,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=361597&contSeq=361597&board_id=&gubun=ALL,코로나바이러스감염증-19 국내 발생 현황 (12월 11일 0시),중앙방역대책본부 대응관리팀,2020-12-11 09:42
10,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=3&brdGubun=31&dataGubun=&ncvContSeq=4405&contSeq=4405&board_id=311&gubun=ALL,[카드뉴스] 중앙방역대책본부 일일 국내발생현황 브리핑(12.10.),대한민국정부,2020-12-10 15:32
