,제목,작성일자,url
1,[이미지] 취약계층 대상 긴급재난지원금 오늘부터 현금 지급,2020-05-04 ,http://ncov.mohw.go.kr/shBoardView.do?brdId=5&brdGubun=52&ncvContSeq=2149
2,[카드뉴스] 무급휴직 신속지원 프로그램 안내,2020-05-04 ,http://ncov.mohw.go.kr/shBoardView.do?brdId=5&brdGubun=52&ncvContSeq=2141
3,[카드뉴스] 노동자_취약층 지원,2020-05-04 ,http://ncov.mohw.go.kr/shBoardView.do?brdId=5&brdGubun=52&ncvContSeq=2137
4,[카드뉴스] 노동자_구직자 지원,2020-05-04 ,http://ncov.mohw.go.kr/shBoardView.do?brdId=5&brdGubun=52&ncvContSeq=2136
5,[동영상] 취약 개인채무자를 대상으로 원금 상환유예가 시행됩니다.,2020-04-29 ,http://ncov.mohw.go.kr/shBoardView.do?brdId=5&brdGubun=52&ncvContSeq=2096
6,[카드뉴스] 코로나19 피해 취약 개인채무자 대출원금 상환유예 신청방법 알려드립니다,2020-04-29 ,http://ncov.mohw.go.kr/shBoardView.do?brdId=5&brdGubun=52&ncvContSeq=2095
7,[카드뉴스] 전국소상공인·취약계층 도시가스요금 납부유예가 가능합니다!,2020-04-21 ,http://ncov.mohw.go.kr/shBoardView.do?brdId=5&brdGubun=52&ncvContSeq=1983
8,[동영상] 진격의 따수 인터뷰 - 저소득층 한시생활지원 소비 쿠폰 편,2020-04-14 ,http://ncov.mohw.go.kr/shBoardView.do?brdId=5&brdGubun=52&ncvContSeq=1892
9,[동영상] 코로나19 금융지원 - 연체위기 취약 개인채무자 재기지원 총정리,2020-04-14 ,http://ncov.mohw.go.kr/shBoardView.do?brdId=5&brdGubun=52&ncvContSeq=1877
10,[카드뉴스] 연체위기 취약 개인채무자 재기지원 총정리 (원금상환유예 장기연체 원금감면 신복위 채무조정),2020-04-13 ,http://ncov.mohw.go.kr/shBoardView.do?brdId=5&brdGubun=52&ncvContSeq=1858
